Company,60B,59B,58B,57B,56B,55B,54B,53B,52B,51B,50B,49B,48B,47B,46B,45B,44B,43B,42B,41B,40B,39B,38B,37B,36B,35B,34B,33B,32B,31B,30B,29B,28B,27B,26B,25B,24B,23B,22B,21B,20B,19B,18B,17B,16B,15B,14B,13B,12B,11B,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,PDUFA,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,60A
ETON,,,,,,,,,,,,,,,,,,1426600,1087700,779900,816700,1222100,654000,439400,395700,409400,988300,663300,434800,2022900,952100,575200,326500,320600,598800,230900,231100,189400,318900,2072500,415200,266400,687500,341600,241800,173200,149600,184600,948500,436900,303100,332100,198000,319500,188600,209800,188200,400800,251600,191400,211800,292500,214900,225800,164200,104200,132300,133200,176600,269400,220000,197100,161500,218300,128600,185100,117300,263400,198900,140200,107200,224800,613900,135400,182900,529700,127100,162400,139800,79900,352400,180000,70400,80800,124600,114500,122800,132400,193000,,,,,,,,,,,,,,,,,,,,,,
SCPH,,,,,,,,,,,,,,,,,,,,66600,39400,23000,89500,55100,74200,110900,43200,54400,31300,87300,42500,35100,83400,83600,37800,63600,23100,25800,22100,22200,31900,83400,41300,26500,15100,47300,70400,30000,58500,39800,30000,37700,38200,40700,18500,42000,60800,75100,65400,76900,1654500,1131100,567500,207100,149600,235200,191300,220900,327500,176600,136200,248200,213200,25100,110000,131100,216100,190800,92000,79200,297400,142200,278000,150600,70600,88100,36100,126000,126300,41000,92500,206400,139000,58800,213000,63800,104000,38100,43700,74100,40600,,,,,,,,,,,,,,,,,,,,
ZVRA,,,,,,,,,,,,,,,,,,1274300,1111200,1137000,688700,673600,537400,699700,468000,688100,504300,464200,407900,359400,502800,941600,799900,566300,592700,967000,896900,429000,1040900,443100,558600,437900,532200,357000,365800,342100,700100,889700,579200,716900,412800,1234500,718300,812800,1488800,2315200,1419000,816400,1419500,1264900,3182900,1641400,709000,854200,921300,4428100,1218700,1012100,1005300,580600,479900,721100,376900,537000,383900,282800,849000,945400,782800,668400,636700,558600,807200,524100,336700,261400,423400,318200,739400,419700,343300,412000,426800,327300,228700,362800,460700,269300,747600,1586100,423000,,,,,,,,,,,,,,,,,,,,
VCEL,,,,,,,,,,,,,,,,,,,,701900,392400,431100,615500,774300,434300,665500,519300,458700,526000,422800,698200,501000,457500,357100,279100,246100,251200,283200,392500,263000,352700,361100,270000,187100,418700,234400,232100,269700,270000,380900,264100,310100,285600,915100,433100,355800,503600,512100,1141100,328700,2194000,1748000,539000,248400,450400,758300,367900,320500,313400,338000,325500,451100,240600,416900,310100,306200,222100,212000,225600,284300,280500,180500,199400,195700,378900,887400,363700,300700,193000,398700,345900,279300,193600,402900,262900,403200,298100,389200,275300,188100,236800,212700,396600,,,,,,,,,,,,,,,,,,
MDWD,,,,,,,,,,,,,,,,,,,,5743,11271,9143,30143,27843,36929,23314,14871,39271,11829,3429,36743,7229,7371,14329,11471,12714,24271,16100,14771,11229,22157,15186,19129,9943,31414,34514,20543,65300,48186,26614,24286,19143,24014,29686,33043,31929,18543,31743,222229,450443,593114,183457,92971,51186,70729,81714,16129,38757,32957,28557,32400,103986,40500,20414,697743,33257,23943,42600,25700,16929,62443,20886,21329,11057,11557,17029,8500,15957,10714,34871,71071,30729,14571,44043,31700,14271,22986,27229,8914,7671,8114,5943,6986,,,,,,,,,,,,,,,,,,
INCY,,,,,,,,,,,,,,,,,,,827600,851600,775900,993300,956100,938800,969100,1004400,1017900,1205700,965800,958500,1030900,2683100,1437500,1512600,2064200,1457100,2074200,1454800,2130300,1200900,1415900,1930600,968200,722600,973200,1564000,1034000,1069100,979300,1018500,880300,991700,695700,713100,1015200,1803000,1328500,1863400,1166000,843600,854400,787100,2015100,1212800,1534500,1497300,1361000,1577800,1648400,1224000,979000,973200,1193200,1797900,1213500,825800,1025100,1162400,983500,865100,772200,659700,503700,768000,763300,708700,580100,1317000,2662300,856000,1042900,1107800,559900,877000,1186700,1798800,874200,1316600,1123900,2544900,2735500,,,,,,,,,,,,,,,,,,,,
FGEN,,,,,,,,,,,,,,,,,,,,844600,773200,760000,445700,1420500,1360100,724100,1125100,943300,2157600,617300,621600,652300,743200,577200,854500,393400,650500,560500,1268300,3866100,2148300,210400,16051100,3627900,2599500,1857900,1560500,1725600,920000,1106400,1159200,1021100,752800,912500,604100,700100,982300,1008700,724800,1861300,2809400,1042300,716100,995100,1361200,1958300,1282200,2054000,2197700,980900,1433000,2305800,1705300,875400,2152100,2159900,1447900,934300,911900,1089200,1052600,1110200,1188300,998900,997700,1013800,4390300,1061200,703000,3272100,951400,807000,955600,920400,674700,601600,1006400,1356800,787500,515200,589600,500200,,,,,,,,,,,,,,,,,,,
CARM,,,,,,,,,,,,,,,,,,289925,223805,230145,628985,1271575,331610,290130,175495,175970,1341645,412710,600790,224560,233410,314005,278645,354700,258880,274140,258400,132500,277760,276070,202480,297380,224110,255425,204110,220680,269310,387600,205040,317080,171170,255845,211615,242980,411710,358395,607400,372540,429675,1655700,6925590,6719360,8007960,4502630,2184150,2788555,2618815,1860530,1550420,1367975,1114210,954720,1016575,875110,1023825,482105,488065,560775,460005,616065,529595,495265,496805,314205,1074725,755595,478520,914345,854875,336125,410740,528125,342835,409300,320195,335850,394640,316410,315020,171505,176430,,,,,,,,,,,,,,,,,,,,
OMER,,,,,,,,,,,,,,,,,,,,459800,454800,558000,326500,453300,270600,320700,324600,441000,437900,321200,430500,369500,615000,402200,319400,336900,392300,315500,273300,790300,310300,246100,251400,965400,254300,1168700,851000,551500,459700,11394400,4135600,3534900,1550000,1101300,1776200,1414100,1149500,927800,1086500,1354600,5268800,8438300,2416900,1805800,958000,1219200,661600,1015200,633900,607500,1308200,523000,922600,584100,957700,728400,751000,2195600,711900,599600,705900,755200,579200,519200,529800,596000,585400,324500,380400,558900,1043200,573900,18320700,2424400,883300,1307700,960600,655300,517700,848600,851600,1045400,767000,,,,,,,,,,,,,,,,,,
BYSI,,,,,,,,,,,,,,,,,,,,813800,953400,691300,633200,381700,494100,330000,699500,670500,459600,383700,471500,638600,466600,447600,407900,543000,879600,959000,412600,419200,350900,546900,1422100,528900,458500,433900,382400,472800,462600,473500,545800,629000,939400,589500,728900,918400,884000,1487400,4244800,6982500,24439600,11042300,3099200,5117200,6684200,2558400,4123300,1280100,948200,1145800,1311300,4468000,1489400,868600,1103000,1232700,1290500,1098500,797100,890100,1668100,1192100,1380500,1055400,625400,1006800,597300,723800,579700,653400,1242700,546600,664300,666500,758100,1373000,1813100,535000,821700,829600,617700,,,,,,,,,,,,,,,,,,,,
