Company,14B,13B,12B,11B,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,PDUFA,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A
NVS,,,,,-5.2957000732421875,-2.8763427734375,-1.8727569580078125,-1.6218643188476562,-1.0752716064453125,-0.56451416015625,-1.27239990234375,-1.3261642456054688,-0.8064498901367188,-0.4390716552734375,0.0,0.47491455078125,0.8064498901367188,1.1648788452148438,1.2096786499023438,1.1648788452148438,1.0304641723632812,1.5770645141601562,2.2759857177734375,1.487457275390625,,,,,
REGN,,,,,-5.05999755859375,-1.55999755859375,-4.579986572265625,-30.54998779296875,-28.42999267578125,-23.5999755859375,-24.970001220703125,-7.819976806640625,-5.69000244140625,-2.329986572265625,0.0,-0.220001220703125,-4.58001708984375,5.329986572265625,7.80999755859375,8.3499755859375,12.1099853515625,13.720001220703125,12.739990234375,9.879974365234375,,,,,
IONS,,,,,3.69000244140625,2.6800003051757812,4.049999237060547,2.2800025939941406,2.8600006103515625,2.0300025939941406,0.4500007629394531,1.0200004577636719,2.490001678466797,3.9000015258789062,0.0,-8.53000259399414,-7.510002136230469,-7.270000457763672,-8.010002136230469,-7.94000244140625,-8.639999389648438,-9.240001678466797,-9.520000457763672,,,,,,
GSK,,,,,,-1.6800003051757812,-1.8900032043457031,-1.7700004577636719,-1.9900016784667969,-1.6400032043457031,-0.9000015258789062,-0.7400016784667969,-0.5300025939941406,-0.18000030517578125,0.0,-0.2999992370605469,-0.6099967956542969,-0.23999786376953125,-0.26999664306640625,-0.5900001525878906,-0.3899993896484375,0.030002593994140625,-0.049999237060546875,0.2700004577636719,,,,,
XOMA,,,,,-2.7899999618530273,-3.0500001907348633,-2.810000419616699,-2.5299997329711914,-1.1999998092651367,-2.0,-1.5900001525878906,-1.4200000762939453,-2.380000114440918,-2.320000648498535,0.0,1.2899999618530273,0.9399995803833008,0.26000022888183594,-0.4200000762939453,-1.4200000762939453,-1.3400001525878906,-0.8400001525878906,-1.2300004959106445,-1.3999996185302734,,,,,
NVS,,,,,0.34946441650390625,0.6541213989257812,0.8781356811523438,1.0394287109375,1.6577072143554688,3.6200714111328125,3.1003570556640625,2.7688140869140625,0.46595001220703125,0.8602142333984375,0.0,0.85125732421875,0.7706069946289062,1.5860214233398438,-1.7831573486328125,-0.448028564453125,-0.85125732421875,-0.13440704345703125,0.34946441650390625,1.0931930541992188,,,,,
AQST,,,,,-0.4699993133544922,-0.8899993896484375,-0.6899986267089844,-1.0499992370605469,-1.1399993896484375,-0.1399993896484375,0.23000144958496094,-0.3599987030029297,-0.019998550415039062,0.05000114440917969,0.0,-0.5100002288818359,-3.6700010299682617,-6.640000343322754,-6.660000801086426,-6.010000228881836,-7.550000190734863,-7.910000801086426,-8.020000457763672,,,,,,
ALKS,,,,,,-1.05999755859375,0.030002593994140625,0.6400032043457031,0.0,-0.9899978637695312,0.5300025939941406,0.4200019836425781,0.2800025939941406,0.21000289916992188,0.0,0.09999847412109375,0.6299972534179688,-0.5900001525878906,-2.0100021362304688,-2.230001449584961,-1.700002670288086,-0.7900009155273438,-0.160003662109375,-0.5800018310546875,,,,,
ZVRA,,,,,2.3999996185302734,1.4399986267089844,2.0799999237060547,-0.48000144958496094,-1.760000228881836,-3.8400001525878906,-4.80000114440918,-3.3600006103515625,-2.8800010681152344,0.31999969482421875,0.0,2.5600013732910156,3.200000762939453,3.0400009155273438,2.0800018310546875,1.9200000762939453,1.6000003814697266,0.6400012969970703,0.1600017547607422,,,,,,
PFE,,,,,-1.0910835266113281,-0.5028457641601562,-0.5692596435546875,-1.2239112854003906,-0.19924163818359375,0.351043701171875,0.01897430419921875,-0.07590103149414062,0.028461456298828125,-0.2751426696777344,0.0,0.0474395751953125,0.3036079406738281,0.11385345458984375,-0.09487533569335938,0.3036079406738281,-1.2523689270019531,-3.7760887145996094,-3.7286529541015625,-4.288425445556641,,,,,
