Company,60B,59B,58B,57B,56B,55B,54B,53B,52B,51B,50B,49B,48B,47B,46B,45B,44B,43B,42B,41B,40B,39B,38B,37B,36B,35B,34B,33B,32B,31B,30B,29B,28B,27B,26B,25B,24B,23B,22B,21B,20B,19B,18B,17B,16B,15B,14B,13B,12B,11B,10B,9B,8B,7B,6B,5B,4B,3B,2B,1B,PDUFA,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,60A
INCY,,,,,,,,,,,,,,,,,,1736700,1073300,1184200,1216500,26083800,7900000,2882700,2204500,4386100,2260200,2217000,1718200,1714300,3672500,3355100,2620400,7408500,3689800,3066200,2889900,2863900,2842100,3522900,2674900,2721100,2739800,1698900,2320900,3171800,2474200,2314800,1883900,2118200,1747700,1768600,1247900,1068600,848600,1202100,1373000,1310500,1586700,1407900,2121000,1278600,1297200,1209500,1918600,1592900,1488500,1104200,1244900,2876900,3454500,3055500,2923600,1914700,2367500,1980200,1821400,4109500,1663900,2389700,1623800,1554500,858500,720700,1501500,2813100,1378100,1418700,1503900,1176300,1139400,2257600,1316900,1321200,1040400,1090500,1359600,1148400,1109100,1268400,1640600,,,,,,,,,,,,,,,,,,,,
VTRS,,,,,,,,,,,,,,,,,,,,2267800,3107500,4637200,5769900,6875400,4450500,4683300,2099100,2280600,2461200,2736300,3430300,2930500,4932800,6332800,3230300,2982500,3564200,4197500,8679700,9445300,4371000,3960400,5100200,6111600,4443600,4469000,3232600,3328800,3943900,6222200,4590500,2594500,2819900,3892500,3329900,2235300,3913800,2392200,7378700,4987900,4958700,12468200,6429200,6865500,4245400,3339200,2655300,4841300,13978400,7885300,5207700,3030100,3196300,2094600,4842100,3271600,3153000,4337100,6176200,3526600,4579400,1817200,3764700,2355600,2667300,2728500,2319000,2324400,2381700,1749400,2392700,4063500,3065700,3152300,2438500,4233600,2622600,3190000,2561800,3237800,5987900,4318000,4068900,,,,,,,,,,,,,,,,,,
LGND,,,,,,,,,,,,,,,,,,,,281647,294151,223138,264655,280365,342080,375102,284853,486190,690412,337432,287578,537807,442107,247022,504624,275556,363080,297357,1026882,504785,600163,537165,1489668,1014218,811439,1994613,770081,672298,515525,366927,444512,554478,542936,386644,606896,581729,366286,420146,371255,263694,368049,500617,767677,596797,740907,298639,500938,301043,631742,725197,637834,419505,1000432,1184296,744433,361477,248465,351538,563775,327653,290143,268663,710450,286937,322203,354103,536364,636872,364522,354584,297998,333264,288380,506388,699389,579485,423032,340798,431688,513441,1665196,782104,603850,,,,,,,,,,,,,,,,,,
ALKS,,,,,,,,,,,,,,,,,,,,493100,869200,595500,991600,488700,1113800,692500,629500,627400,1435100,822900,792700,722900,861500,414600,375500,418700,670400,750300,652500,401300,770900,632300,937000,580100,465100,497300,446300,450100,1085300,1214600,647500,741700,428900,2033800,1212600,914000,689000,829200,818800,630500,578200,493500,821300,542200,651700,395700,579300,614100,460600,1042400,508100,486000,396900,637400,620100,833800,1257200,992100,922100,578400,879400,866000,498200,576900,551500,263100,285800,319200,508100,528700,330900,298900,466900,297100,490000,504300,234600,391800,339400,396700,319300,464100,326900,,,,,,,,,,,,,,,,,,
SIGA,,,,,,,,,,,,,,,,,,,156800,188900,106000,442600,180500,54700,35700,63700,34200,45600,80600,75700,220300,149700,164900,243700,228100,166200,197300,857200,900200,757800,1127900,2227900,569200,665700,405300,459500,6838900,439400,222100,252100,351600,367700,195000,76400,235600,132800,97700,276200,156400,191400,1726900,1273400,227900,118300,256800,153200,173700,187400,111900,127200,168100,76500,375400,137400,93800,139100,124300,90300,77300,180200,221100,137400,212600,150000,81700,151100,70100,144300,215000,141100,141200,167200,111000,229400,136000,74800,114200,112800,374400,154100,155300,,,,,,,,,,,,,,,,,,,,
AGIO,,,,,,,,,,,,,,,,,,,304700,275800,620800,189000,145500,311800,438400,709400,517000,1199600,293700,210700,254800,219200,213600,243800,337100,315800,618400,236400,357400,297900,151800,447100,246300,466700,436300,426100,456600,268800,271900,450800,331100,404800,263400,369900,254200,199900,235700,151200,181200,201900,434900,414900,588300,728300,307100,405400,372500,195800,280600,664100,532100,592200,265100,393200,383500,375000,728500,624400,302700,325000,255500,318600,262600,128900,191300,210500,280900,354600,192700,175300,170800,223800,780200,456300,332400,484900,343100,326400,269400,284600,305300,,,,,,,,,,,,,,,,,,,,
NBIX,,,,,,,,,,,,,,,,,,,,,353000,401400,606500,770200,529400,811400,798200,558700,750300,588700,320900,588500,671300,552000,1005500,995200,542400,737000,561900,547000,726600,584800,527400,660200,511900,449700,322000,865000,463200,413500,455300,460500,358300,290900,585600,664600,458500,335400,510200,471700,1353200,805000,696200,555400,1386600,959800,2986400,1531400,556100,665100,577600,380300,850500,472900,712600,434700,568700,691400,522300,597600,556500,475700,488600,381200,711900,646000,463100,463000,355400,832700,840200,619400,692900,631300,542100,993700,638900,463500,569000,796000,545500,481900,1143000,,,,,,,,,,,,,,,,,,
DRRX,,,,,,,,,,,,,,,,,,,58200,41260,62360,59940,51140,44680,66540,35270,54660,64990,55800,62820,58050,100510,82490,67460,44470,68280,244190,45900,152520,479530,101530,74180,36030,35730,168590,80680,70170,36680,58080,106190,29010,57940,38910,122920,46170,51880,41100,35590,49370,34870,80630,351330,68210,50160,50480,55280,95030,26340,35470,18000,27580,29160,36740,33300,30580,15560,26180,60030,45890,28660,17080,19440,28740,25050,21060,28780,20500,21390,27600,24290,31020,19030,26950,25660,19590,21760,28600,18490,30090,89300,29080,,,,,,,,,,,,,,,,,,,,
LNTH,,,,,,,,,,,,,,,,,,,,903400,512400,479100,424700,310100,960300,742000,370100,349300,332400,389100,556300,328300,427100,350400,452300,1074700,264100,334500,312300,471300,214300,208600,119300,214900,143400,214000,256500,343800,184000,386400,361900,331000,299600,231300,187100,223100,294900,399400,231000,455200,331300,305000,376100,489800,245800,178800,239000,195300,156200,227600,391600,151400,211300,211000,200200,460400,355700,238500,118200,125000,170400,245000,287600,352900,270300,343800,180700,195500,229000,300500,315700,259400,203300,340200,256200,237600,239900,315600,1631000,553600,225300,279100,552800,,,,,,,,,,,,,,,,,,
TXMD,,,,,,,,,,,,,,,,,,73024,68496,64320,45590,146036,44730,52130,41228,48016,69474,48546,44466,38576,52932,78400,41872,16202,24946,27428,28028,34422,22844,23502,27538,23070,19726,17510,32116,27640,24242,36694,32856,30676,45442,86796,99372,65442,138348,51010,31622,55264,39428,38064,61158,56626,76670,42912,45114,46816,32558,43728,33736,30652,98276,43814,46866,29772,49606,44328,68952,36206,52740,39344,56754,36656,45342,31290,24314,31132,43816,28312,70934,105710,43228,37064,34600,27458,53346,111498,53008,52462,86800,69132,31942,,,,,,,,,,,,,,,,,,,,
